"title","category","notes","start","end","completed","userId"
"Reunião Semanal de Alinhamento","reuniao","Discutir progresso do Projeto Phoenix.","2025-10-27T09:00:00","2025-10-27T10:30:00",false,"68fbd0096586a23e55cf9221"
"Brainstorm para novo App","reuniao","Sessão de ideias com a equipe de design.","2025-10-29T14:00:00","2025-10-29T15:00:00",false,"68fbd0096586a23e55cf9221"
"Prova de Cálculo II","prova","Estudar capítulos 5 e 6. Levar calculadora.","2025-11-05T19:00:00","2025-11-05T21:00:00",false,"68fbd0096586a23e55cf9221"
"Apresentação de Projeto Final","prova","Ensaiar a apresentação com o grupo.","2025-11-12T10:00:00",,false,"68fbd0096586a23e55cf9221"
"Aniversário da Amanda","aniversario","Comprar presente e enviar mensagem.","2025-11-23T00:00:00",,false,"68fbd0096586a23e55cf9221"
"Aniversário do Roberto","aniversario","Lembrar de ligar para os pais.","2025-12-16T00:00:00",,false,"68fbd0096586a23e55cf9221"
"Entregar relatório mensal","tarefa","Coletar dados de vendas e marketing.","2025-10-31T17:00:00",,true,"68fbd0096586a23e55cf9221"
"Levar o carro para revisão","tarefa","Agendado na oficina 'Auto Certa'.","2025-11-03T08:30:00",,false,"68fbd0096586a23e55cf9221"
"Consulta médica - Dr. Silva","pessoal","Check-up anual.","2025-11-10T11:00:00","2025-11-10T11:45:00",false,"68fbd0096586a23e55cf9221"
"Comprar ingressos para o cinema","pessoal","Verificar estreia do filme 'Interestelar 2'.","2025-10-28T20:00:00",,false,"68fbd0096586a23e55cf9221"
"Pagar conta de luz","tarefa","Vencimento dia 10.","2025-11-10T00:00:00",,false,"68fbd0096586a23e55cf9221"
