_id,title,category,notes,start,end,completed,userId
68fbe5b6d84cd0096ee8a9d1,Reunião Semanal de Alinhamento,reuniao,Discutir progresso do Projeto Phoenix.,2025-10-27T12:00:00.000Z,2025-10-27T13:30:00.000Z,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d2,Brainstorm para novo App,reuniao,Sessão de ideias com a equipe de design.,2025-10-29T17:00:00.000Z,2025-10-29T18:00:00.000Z,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d3,Prova de Cálculo II,prova,Estudar capítulos 5 e 6. Levar calculadora.,2025-11-05T22:00:00.000Z,2025-11-06T00:00:00.000Z,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d4,Apresentação de Projeto Final,prova,Ensaiar a apresentação com o grupo.,2025-11-12T13:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d5,Aniversário da Amanda,aniversario,Comprar presente e enviar mensagem.,2025-11-23T03:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d6,Aniversário do Roberto,aniversario,Lembrar de ligar para os pais.,2025-12-16T03:00:00.000Z,,false,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d7,Entregar relatório mensal,tarefa,Coletar dados de vendas e marketing.,2025-10-31T20:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d8,Levar o carro para revisão,tarefa,Agendado na oficina 'Auto Certa'.,2025-11-03T11:30:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9d9,Consulta médica - Dr. Silva,pessoal,Check-up anual.,2025-11-10T14:00:00.000Z,2025-11-10T14:45:00.000Z,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9da,Comprar ingressos para o cinema,pessoal,Verificar estreia do filme 'Interestelar 2'.,2025-10-28T23:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
68fbe5b6d84cd0096ee8a9db,Pagar conta de luz,tarefa,Vencimento dia 10.,2025-11-10T03:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be95,Code Freeze - Black Friday,tarefa,Congelamento de novas features. Apenas correções críticas permitidas até 02/12.,2025-11-14T18:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be96,Teste de Carga - Servidores,tarefa,Simular 50x o tráfego normal para validar auto-scaling da AWS.,2025-11-17T14:00:00.000Z,2025-11-17T16:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be97,Alinhamento com Mkt - Promoções,reuniao,Verificar integridade dos preços importados para o Magalu e ML.,2025-11-20T10:00:00.000Z,2025-11-20T11:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be98,Aniversário do Chefe,aniversario,Comprar bolo e organizar vaquinha.,2025-11-21T00:00:00.000Z,,true,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be99,Revisão de Logs de Erro,tarefa,Limpar logs antigos e verificar erros de integração com APIs.,2025-11-24T09:00:00.000Z,2025-11-24T10:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be9a,WAR ROOM - Início Black Friday,reuniao,Monitoramento em tempo real da virada de preços. Pizza por conta da empresa.,2025-11-27T22:00:00.000Z,2025-11-27T04:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be9b,Plantão Black Friday (Manhã),tarefa,Monitorar fila de pedidos integrados.,2025-11-28T08:00:00.000Z,2025-11-28T14:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be9c,Dermatologista,pessoal,Consulta de rotina.,2025-11-29T10:30:00.000Z,2025-11-29T11:30:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be9d,Monitoramento Cyber Monday,tarefa,Focar em eletrônicos e hardware.,2025-12-01T09:00:00.000Z,2025-12-01T18:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
6927a971247d30ac85c5be9e,Retrospectiva Black Friday,reuniao,Levantar pontos positivos e incidentes técnicos.,2025-12-03T14:00:00.000Z,2025-12-03T16:00:00.000Z,false,68fbe5b6d84cd0096ee8a9d0
